FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Width,Height,WidthToHeightRatio,WordCount,SymbolCount,SameyCount,BottomLineDistance,TopLineDistance,ImageIndex,Label
image-000,0,836,181,174,325,37.083333333333336,445,68,6.544117647058823,2,12,0,807,214,0,Garbage
image-002,0,1155,305,61,54,16.074074074074073,434,20,21.7,3,27,0,1175,54,2,Paragraph
image-002,1,1120,359,122,89,15.19047619047619,319,20,15.95,3,21,0,1140,89,2,Paragraph
image-002,2,1084,410,179,125,15.071428571428571,211,20,10.55,4,14,0,1104,125,2,Paragraph
image-003,0,1147,59,79,49,21.35483870967742,662,33,20.060606060606062,16,31,0,1180,49,3,Garbage
image-003,1,914,35,52,234,64.81818181818181,713,81,8.802469135802468,2,11,0,995,234,3,Garbage
image-003,2,605,170,188,530,29.24,442,94,4.702127659574468,3,25,0,699,530,3,Garbage
image-003,3,417,279,277,791,17.428571428571427,244,21,11.619047619047619,2,14,0,438,791,3,Garbage
image-003,4,384,309,295,826,17.818181818181817,196,19,10.31578947368421,1,11,0,403,826,3,Garbage
image-003,5,92,101,95,1115,19.483870967741936,604,22,27.454545454545453,4,31,0,114,1115,3,Garbage
image-003,6,49,144,144,1162,13.128205128205128,512,18,28.444444444444443,20,39,0,67,1162,3,Garbage
image-004,0,1151,55,83,49,21.35483870967742,662,29,22.82758620689655,16,31,0,1180,-178,4,Garbage
image-004,1,927,35,64,222,50.07142857142857,701,80,8.7625,6,14,0,1007,-5,4,Garbage
image-004,2,593,370,399,602,31,31,34,0.9117647058823529,1,1,0,627,375,4,Garbage
image-004,3,93,86,101,1117,19.774193548387096,613,19,32.26315789473684,4,31,0,112,890,4,Garbage
image-004,4,48,135,157,1163,15.393939393939394,508,18,28.22222222222222,17,33,0,66,936,4,Garbage
image-005,0,891,34,33,223,12.4070796460177,733,115,6.373913043478261,34,226,0,1006,223,5,Paragraph
image-005,1,617,30,31,345,12.7265625,739,267,2.7677902621722845,72,512,0,884,345,5,Paragraph
image-005,2,588,41,542,625,11.421052631578947,217,16,13.5625,1,19,0,604,625,5,Paragraph
image-005,3,435,31,33,650,12.829365079365079,736,144,5.111111111111111,34,252,0,579,650,5,Paragraph
image-006,0,724,153,152,405,25.45945945945946,495,100,4.95,13,37,0,824,405,6,Title
image-007,0,759,85,111,373,14.408759124087592,604,97,6.22680412371134,19,137,0,719,-25,7,Title
