FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Width,Height,WidthToHeightRatio,WordCount,SymbolCount,SameyCount,BottomLineDistance,TopLineDistance,ImageIndex,Label
0,0,836,181,174,325,37.083333333333336,445,68,6.544117647058823,2,12,0,807,214,0,Garbage
2,0,1069,299,101,141,14.814814814814817,400,19,21.05263157894737,3,27,0,1088,141,2,Paragraph
2,1,1038,341,141,171,14.454545454545457,318,20,15.9,3,22,0,1058,171,2,Paragraph
2,2,1009,395,192,202,12.529411764705882,213,18,11.833333333333334,5,17,0,1027,202,2,Paragraph
3,0,1150,71,67,50,21.35483870967742,662,29,22.82758620689655,16,31,0,1179,50,3,Garbage
3,1,893,35,53,253,59.333333333333336,712,83,8.578313253012048,2,12,0,976,253,3,Garbage
3,2,613,160,193,522,29.52,447,94,4.75531914893617,3,25,0,707,522,3,Garbage
3,3,423,269,281,787,17.857142857142858,250,19,13.157894736842104,2,14,0,442,787,3,Garbage
3,4,390,297,303,822,18.181818181818183,200,17,11.764705882352942,1,11,0,407,822,3,Garbage
3,5,97,94,104,1109,19.41935483870968,602,23,26.17391304347826,4,31,0,120,1109,3,Garbage
3,6,53,166,156,1159,14.484848484848484,478,17,28.11764705882353,17,33,0,70,1159,3,Garbage
4,0,1148,86,66,54,20.90322580645161,648,27,24,16,31,0,1175,-205,4,Garbage
4,1,893,43,67,255,43.125,690,81,8.518518518518519,7,16,0,974,-4,4,Garbage
4,2,660,358,369,537,24.33333333333333,73,32,2.28125,2,3,0,692,278,4,Garbage
4,3,602,302,291,609,17.25,207,18,11.5,2,12,0,620,350,4,Garbage
4,4,98,103,103,1112,19.161290322580644,594,19,31.26315789473684,4,31,0,117,853,4,Garbage
4,5,53,172,151,1160,12.891891891891891,477,16,29.8125,19,37,0,69,901,4,Garbage
5,0,789,35,29,328,12.611353711790391,736,112,6.571428571428571,36,229,0,901,328,5,Paragraph
5,1,760,41,680,454,11.285714285714286,79,15,5.266666666666667,1,7,0,775,454,5,Paragraph
5,2,669,37,34,480,12.77639751552795,729,80,9.1125,24,161,0,749,480,5,Paragraph
6,0,893,285,286,303,25.444444444444443,229,33,6.9393939393939394,4,9,0,926,303,6,Title
6,1,696,93,103,369,35.71052631578947,604,164,3.682926829268293,5,38,0,860,369,6,Title
6,2,580,438,336,633,13,26,16,1.625,1,2,0,596,633,6,Garbage
7,0,926,199,387,279,16.46153846153846,214,24,8.916666666666666,2,13,0,950,279,7,Paragraph
7,1,867,257,251,344,15.36842105263158,292,18,16.22222222222222,2,19,0,885,344,7,Paragraph
7,2,807,320,196,398,16.705882352941178,284,24,11.833333333333334,2,17,0,831,398,7,Paragraph
7,3,739,437,116,465,17.642857142857142,247,25,9.88,1,14,0,764,465,7,Paragraph
7,4,673,254,233,535,16.473684210526315,313,21,14.904761904761903,3,19,0,694,535,7,Paragraph
7,5,571,460,235,635,21,105,23,4.565217391304348,1,5,0,594,635,7,Paragraph
8,0,796,174,191,413,15,435,20,21.75,4,29,0,816,413,8,Title
8,1,433,38,29,473,12.082066869300911,733,323,2.2693498452012384,94,658,0,756,473,8,Paragraph
8,2,402,46,437,811,11.74074074074074,317,16,19.8125,5,27,0,418,811,8,Paragraph
8,3,37,38,29,837,12.144257703081232,733,355,2.064788732394366,104,714,0,392,837,8,Paragraph
9,0,1162,31,743,48,13,26,19,1.368421052631579,1,2,1,1181,-26,9,Garbage
9,1,1162,246,252,49,10.413793103448276,302,18,16.77777777777778,4,29,1,1180,-25,9,Garbage
9,2,1067,36,40,114,12.010416666666666,724,48,15.083333333333334,16,96,0,1115,40,9,Paragraph
9,3,885,31,38,172,12.153614457831326,731,172,4.25,48,332,0,1057,98,9,Paragraph
9,4,732,29,38,355,12.282527881040892,733,142,5.161971830985915,39,269,0,874,281,9,Paragraph
9,5,656,84,587,553,9.214285714285714,129,20,6.45,2,14,0,676,479,9,Paragraph
9,6,632,71,581,579,10.571428571428571,148,18,8.222222222222221,3,14,0,650,505,9,Paragraph
10,0,821,164,178,388,15.266666666666667,458,20,22.9,4,30,0,841,388,10,Title
10,1,397,36,33,447,12.200520833333334,731,385,1.8987012987012988,117,768,0,782,447,10,Paragraph
10,2,366,31,38,846,12.183333333333334,731,17,43,7,60,0,383,846,10,Paragraph
10,3,62,24,38,873,12.484429065743944,738,294,2.510204081632653,84,578,0,356,873,10,Paragraph
10,4,29,25,52,1181,13.38888888888889,723,19,38.05263157894737,7,54,0,48,1181,10,Paragraph
11,0,1170,29,745,38,13,26,21,1.238095238095238,1,2,1,1191,-27,11,Garbage
11,1,1170,237,245,41,10.6,318,18,17.666666666666668,4,30,1,1188,-24,11,Garbage
11,2,1076,31,37,104,12.191666666666666,732,49,14.93877551020408,18,120,0,1125,39,11,Paragraph
11,3,1046,37,516,167,12.35,247,16,15.4375,2,20,0,1062,102,11,Paragraph
11,4,529,31,30,194,12.39616935483871,739,506,1.4604743083003953,130,992,0,1035,129,11,Paragraph
11,5,499,37,362,715,12.151515151515152,401,15,26.73333333333333,4,33,0,514,650,11,Paragraph
11,6,41,35,30,743,12.257336343115124,735,445,1.651685393258427,114,886,0,486,678,11,Paragraph
12,0,1172,235,250,40,10.5,315,17,18.529411764705884,4,30,1,1189,-24,12,Garbage
12,1,1169,735,36,38,14.5,29,22,1.318181818181818,1,2,1,1191,-26,12,Garbage
12,2,1047,36,39,105,12.928571428571429,725,77,9.415584415584416,22,168,0,1124,41,12,Paragraph
12,3,1017,36,362,196,12.181818181818182,402,16,25.125,4,33,0,1033,132,12,Paragraph
12,4,712,32,31,225,12.405405405405403,737,292,2.5239726027397262,72,555,0,1004,161,12,Paragraph
12,5,106,34,32,523,12.22972972972973,734,600,1.2233333333333334,151,1184,0,706,459,12,Paragraph
12,6,46,33,32,1137,12.285714285714286,735,46,15.978260869565217,15,119,0,92,1073,12,Paragraph
13,0,1167,32,743,45,12.5,25,17,1.4705882352941178,1,2,1,1184,-25,13,Garbage
13,1,1166,243,239,47,10.6,318,16,19.875,4,30,1,1182,-23,13,Garbage
13,2,889,31,31,112,12.243697478991596,738,228,3.236842105263158,69,476,0,1117,42,13,Paragraph
13,3,859,36,524,354,12,240,16,15,2,20,0,875,284,13,Paragraph
13,4,677,31,33,381,12.303405572755418,736,171,4.304093567251462,44,323,0,848,311,13,Paragraph
13,5,601,104,595,611,10.1,101,17,5.941176470588236,1,10,0,618,541,13,Paragraph
13,6,577,78,572,634,10.714285714285714,150,18,8.333333333333334,3,14,0,595,564,13,Paragraph
14,0,829,157,194,379,14.966666666666669,449,21,21.38095238095238,4,30,0,751,379,14,Title
14,1,496,31,38,439,12.187062937062937,731,294,2.486394557823129,83,572,0,691,439,14,Paragraph
14,2,283,27,40,743,12.552238805970148,733,203,3.6108374384236455,56,402,0,387,743,14,Paragraph
14,3,253,29,47,959,14.48,724,17,42.588235294117645,7,50,0,171,959,14,Paragraph
14,4,225,29,675,989,12,96,15,6.4,1,8,0,141,989,14,Paragraph
14,5,162,27,45,1016,11.983050847457626,728,51,14.27450980392157,23,118,0,114,1016,14,Paragraph
14,6,134,30,641,1079,11.727272727272728,129,16,8.0625,3,11,0,51,1079,14,Paragraph
14,7,50,61,402,1155,10.212121212121213,337,24,14.041666666666666,8,33,0,-25,1155,14,Comment
14,8,20,88,332,1192,9.268292682926829,380,17,22.352941176470587,10,41,0,-62,1192,14,Comment
15,0,1159,33,739,50,14,28,20,1.4,1,2,1,1179,-27,15,Garbage
15,1,1159,247,248,53,10.166666666666666,305,17,17.941176470588236,4,30,1,1176,-24,15,Garbage
15,2,1031,37,33,117,12.449367088607596,730,81,9.012345679012345,20,158,0,1112,40,15,Paragraph
15,3,966,83,614,242,10.3,103,21,4.904761904761905,1,10,0,987,165,15,Paragraph
15,4,941,76,604,269,10.909090909090908,120,19,6.315789473684211,3,11,0,960,192,15,Paragraph
16,0,860,295,293,353,16.307692307692307,212,16,13.25,2,13,0,750,353,16,Title
16,1,811,155,168,397,14.90625,477,21,22.714285714285715,5,32,0,706,397,16,Title
16,2,761,84,41,447,12.5,675,21,32.142857142857146,7,54,0,656,447,16,Paragraph
16,3,216,36,29,481,12.102777777777778,735,532,1.381578947368421,147,1080,0,622,481,16,Paragraph
16,4,184,40,36,1027,11.67741935483871,724,18,40.22222222222222,12,62,0,76,1027,16,Paragraph
16,5,156,36,489,1057,11.956521739130435,275,16,17.1875,3,23,0,46,1057,16,Paragraph
16,6,54,39,35,1130,10.924050632911392,726,45,16.133333333333333,17,79,0,-27,1130,16,Comment
16,7,23,96,681,1189,11.5,23,17,1.3529411764705883,1,2,0,-86,1189,16,Garbage
17,0,1170,31,747,42,11,22,17,1.2941176470588236,1,2,1,1187,-24,17,Garbage
17,1,1168,149,149,45,11.155555555555557,502,16,31.375,6,45,1,1184,-21,17,Garbage
17,2,1105,71,39,104,12.321428571428571,690,20,34.5,8,56,0,1125,38,17,Paragraph
17,3,286,29,33,137,12.19160926737633,738,806,0.9156327543424316,229,1597,0,1092,71,17,Paragraph
17,4,102,31,33,953,12.442528735632184,736,174,4.2298850574712645,49,348,0,276,887,17,Paragraph
17,5,43,35,33,1135,11.783333333333331,732,51,14.352941176470589,14,120,0,94,1069,17,Paragraph
18,0,1169,338,323,44,10.692307692307692,139,16,8.6875,2,13,1,1185,-22,18,Garbage
18,1,1168,747,27,40,13,26,21,1.238095238095238,1,2,1,1189,-26,18,Garbage
18,2,983,39,30,106,12.35593220338983,731,140,5.221428571428572,39,295,0,1123,40,18,Paragraph
18,3,892,39,30,256,12.161111111111111,731,81,9.024691358024691,30,180,0,973,190,18,Paragraph
18,4,528,39,24,347,12.140277777777778,737,354,2.0819209039548023,114,720,0,882,281,18,Paragraph
18,5,103,43,28,716,11.906103286384976,729,410,1.778048780487805,112,852,0,513,650,18,Paragraph
18,6,42,46,29,1136,12.52212389380531,725,51,14.215686274509803,17,113,0,93,1070,18,Paragraph
19,0,1173,30,746,38,12,24,18,1.3333333333333333,1,2,1,1191,-27,19,Garbage
19,1,1169,149,152,42,11.088888888888889,499,18,27.72222222222222,6,45,1,1187,-23,19,Garbage
19,2,955,27,41,106,12.144542772861357,732,168,4.357142857142857,49,339,0,1123,41,19,Paragraph
19,3,712,28,38,284,12.295744680851064,734,233,3.1502145922746783,65,470,0,945,219,19,Paragraph
19,4,500,30,37,530,12.420924574209243,733,199,3.683417085427136,61,411,0,699,465,19,Paragraph
19,5,470,36,670,742,11.75,94,17,5.529411764705882,1,8,0,487,677,19,Paragraph
19,6,349,29,37,770,12.092436974789916,734,110,6.672727272727273,31,238,0,459,705,19,Paragraph
19,7,317,29,620,895,12.583333333333334,151,17,8.882352941176471,2,12,0,334,830,19,Paragraph
19,8,45,30,38,921,12.0817843866171,732,263,2.783269961977186,81,538,0,308,856,19,Paragraph
20,0,1183,343,321,30,10.461538461538462,136,16,8.5,2,13,1,1199,-22,20,Garbage
20,1,1178,746,20,27,17,34,24,1.4166666666666667,1,2,1,1202,-25,20,Garbage
20,2,907,38,25,92,12.083333333333334,737,230,3.2043478260869565,74,480,0,1137,40,20,Paragraph
20,3,875,39,454,336,12.28,307,18,17.055555555555557,4,25,0,893,284,20,Paragraph
20,4,513,36,25,364,12.205882352941176,739,352,2.0994318181818183,98,714,0,865,312,20,Paragraph
20,5,331,37,33,728,11.945054945054943,730,170,4.294117647058823,55,364,0,501,676,20,Paragraph
