FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Width,Height,WidthToHeightRatio,WordCount,SymbolCount,SameyCount,BottomLineDistance,TopLineDistance,ImageIndex,Label
0,0,864,173,171,340,38,456,70,6.514285714285714,2,12,0,834,340,0,
10,0,875,174,184,378,15.785714285714286,442,21,21.047619047619047,4,28,0,896,378,10,
10,1,723,20,18,435,13.109649122807017,762,116,6.568965517241379,31,228,0,839,435,10,
10,2,693,23,659,566,11.8,118,15,7.866666666666666,1,10,0,708,566,10,
10,3,376,8,18,593,12.648739495798319,774,305,2.537704918032787,83,595,0,681,593,10,
10,4,345,21,698,912,11.571428571428571,81,17,4.764705882352941,1,7,0,362,912,10,
10,5,91,20,18,941,12.666666666666666,762,242,3.1487603305785123,63,450,0,333,941,10,
10,6,28,21,29,1193,12.869047619047619,750,53,14.150943396226415,13,84,0,81,1193,10,
100,0,1218,23,741,37,12,36,19,1.894736842105263,1,3,1,1237,-28,100,
100,1,1217,302,290,41,10.947368421052632,208,16,13,2,19,1,1233,-24,100,
100,2,737,21,17,108,12.518343195266272,762,429,1.7762237762237763,122,845,0,1166,43,100,
100,3,547,20,18,552,12.53185595567867,762,175,4.354285714285714,52,361,0,722,487,100,
100,4,357,21,20,737,12.509859154929577,759,180,4.216666666666667,62,355,0,537,672,100,
100,5,312,328,325,945,11.307692307692308,147,17,8.647058823529411,7,13,0,329,880,100,
100,6,283,354,359,973,12.428571428571429,87,18,4.833333333333333,3,7,0,301,908,100,
100,7,257,341,340,999,11.9,119,18,6.611111111111111,5,10,0,275,934,100,
100,8,231,300,309,1025,17.363636363636363,191,18,10.61111111111111,5,11,0,249,960,100,
100,9,178,362,369,1053,12,69,43,1.6046511627906976,6,11,0,221,988,100,
100,10,151,342,343,1105,12.777777777777779,115,18,6.388888888888889,5,9,0,169,1040,100,
100,11,124,325,337,1130,12.545454545454545,138,20,6.9,5,11,0,144,1065,100,
100,12,37,14,27,1183,12.8,759,54,14.055555555555555,17,115,0,91,1118,100,
101,0,1216,200,201,43,11.083333333333334,399,15,26.6,4,36,1,1231,-23,101,
101,1,1215,743,19,38,12.666666666666666,38,21,1.8095238095238095,1,3,1,1236,-28,101,
101,2,1054,22,18,103,12.739316239316238,760,117,6.495726495726496,38,234,0,1171,37,101,
101,3,928,23,18,227,12.734177215189874,759,119,6.378151260504202,44,237,0,1047,161,101,
101,4,897,23,565,362,12.470588235294118,212,15,14.133333333333333,2,17,0,912,296,101,
101,5,865,67,25,390,12.642857142857142,708,19,37.26315789473684,10,56,0,884,324,101,
101,6,72,22,18,421,12.505305039787798,760,781,0.9731113956466069,226,1508,0,853,355,101,
101,7,40,22,27,1216,13.410714285714286,751,18,41.72222222222222,9,56,0,58,1150,101,
102,0,1215,22,742,41,12,36,18,2,1,3,1,1233,-28,102,
102,1,1212,303,293,47,10.736842105263158,204,15,13.6,2,19,1,1227,-22,102,
102,2,1017,23,18,109,12.491349480968859,759,148,5.128378378378378,51,289,0,1165,40,102,
102,3,987,68,19,265,12.508771929824562,713,22,32.40909090909091,9,57,0,1009,196,102,
102,4,608,23,17,301,12.635983263598327,760,365,2.0821917808219177,98,717,0,973,232,102,
