FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Width,Height,WidthToHeightRatio,WordCount,SymbolCount,SameyCount,BottomLineDistance,TopLineDistance,ImageIndex,Label
0,0,836,181,174,325,37.083333333333336,445,68,6.544117647058823,2,12,0,807,214,0,
10,0,854,161,183,354,15.2,456,21,21.714285714285715,4,30,0,875,-61,10,
10,1,525,31,32,408,12.037606837606837,737,296,2.489864864864865,80,585,0,821,-7,10,
10,2,473,69,579,736,10.5,152,20,7.6,4,16,0,493,321,10,
100,0,1189,326,346,25,10.666666666666666,128,15,8.533333333333333,2,12,1,1204,-22,100,
100,1,1191,738,40,22,11,22,16,1.375,1,2,1,1207,-25,100,
100,2,1062,30,37,88,12.563218390804598,733,79,9.278481012658228,23,174,0,1141,41,100,
100,3,1035,28,698,174,12.333333333333334,74,20,3.7,2,6,0,1055,127,100,
100,4,851,31,33,206,12.43839541547278,736,172,4.27906976744186,44,349,0,1023,159,100,
100,5,822,32,555,393,11.833333333333334,213,14,15.214285714285714,2,18,0,836,346,100,
100,6,730,36,35,420,12.522580645161291,729,79,9.227848101265822,20,155,0,809,373,100,
100,7,699,77,33,511,13.529411764705882,690,19,36.31578947368421,6,51,0,718,464,100,
100,8,668,37,411,545,12.137931034482758,352,16,22,6,29,0,684,498,100,
100,9,607,72,682,609,9.2,46,13,3.5384615384615383,1,5,2,620,562,100,
100,10,607,230,299,608,8.741935483870968,271,14,19.357142857142858,5,31,2,621,561,100,
100,11,585,612,63,590,8.297297297297296,125,54,2.314814814814815,6,37,2,639,543,100,
100,12,482,45,653,655,9.242424242424242,102,92,1.108695652173913,12,33,6,574,608,100,
100,13,557,267,329,656,11.333333333333334,204,16,12.75,2,18,2,573,609,100,
100,14,532,238,301,681,11.863636363636363,261,16,16.3125,3,22,1,548,634,100,
100,15,507,267,325,706,11.555555555555555,208,16,13,2,18,2,523,659,100,
100,16,480,189,199,731,9.80952380952381,412,18,22.88888888888889,10,42,1,498,684,100,
100,17,558,658,119,654,11.5,23,17,1.3529411764705883,1,2,2,575,607,100,
100,18,508,658,116,703,13,26,18,1.4444444444444444,1,2,2,526,656,100,
100,19,454,273,348,757,11.1875,179,18,9.944444444444445,3,16,0,472,710,100,
100,20,432,96,654,781,10,50,16,3.125,2,5,2,448,734,100,
100,21,407,92,654,805,10.8,54,17,3.176470588235294,2,5,2,424,758,100,
100,22,431,240,299,783,11.863636363636363,261,15,17.4,3,22,2,446,736,100,
100,23,406,337,401,808,12.4,62,15,4.133333333333334,2,5,2,421,761,100,
100,24,406,669,99,779,9.4,32,44,0.7272727272727273,2,5,4,450,732,100,
