FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Width,Height,WidthToHeightRatio,WordCount,SymbolCount,SameyCount,BottomLineDistance,TopLineDistance,ImageIndex,Label
0,0,836,181,174,325,37.0833333333,445,68,6.5441176471,2,12,0,807,214,0,Garbage
2,0,1134,301,70,74,15.8888888889,429,21,20.4285714286,3,27,0,1155,74,2,Paragraph
2,1,1105,363,117,105,15.2380952381,320,19,16.8421052632,3,21,0,1124,105,2,Paragraph
2,2,1074,408,163,135,13.4705882353,229,20,11.45,5,17,0,1094,135,2,Paragraph
3,0,1148,75,67,53,22.6896551724,658,28,23.5,15,29,0,1176,-199,3,Image
3,1,899,33,62,248,47,705,82,8.5975609756,6,15,0,981,-4,3,Image
3,2,603,187,167,530,28.88,446,96,4.6458333333,3,25,0,699,278,3,Image
3,3,418,285,267,792,17.7142857143,248,19,13.0526315789,2,14,0,437,540,3,Image
3,4,384,312,288,826,18.1818181818,200,19,10.5263157895,1,11,0,403,574,3,Image
3,5,97,101,95,1111,19.4838709677,604,21,28.7619047619,4,31,0,118,859,3,Image
3,6,53,178,142,1159,18.4615384615,480,17,28.2352941176,12,26,0,70,907,3,Image
4,0,1148,93,83,52,21.5172413793,624,29,21.5172413793,15,29,0,1177,-206,4,Garbage
4,1,895,33,52,252,44.6875,715,82,8.7195121951,7,16,0,977,-6,4,Garbage
4,2,660,372,345,532,27.6666666667,83,37,2.2432432432,2,3,0,697,274,4,Title
4,3,597,359,386,595,27.5,55,37,1.4864864865,1,2,0,634,337,4,Title
4,4,97,101,95,1111,19.4838709677,604,21,28.7619047619,4,31,0,118,853,4,Garbage
4,5,51,146,142,1160,13.1282051282,512,18,28.4444444444,20,39,0,69,902,4,Garbage
5,0,771,37,28,162,12.3259385666,735,296,2.4831081081,84,586,0,1067,162,5,Paragraph
5,1,741,39,388,471,12.0322580645,373,17,21.9411764706,4,31,0,758,471,5,Paragraph
5,2,619,36,32,497,12.7511111111,732,113,6.4778761062,33,225,0,732,497,5,Paragraph
5,3,589,40,589,624,12.2142857143,171,16,10.6875,1,14,0,605,624,5,Paragraph
5,4,528,38,34,648,12.7477477477,728,53,13.7358490566,17,111,0,581,648,5,Paragraph
5,5,499,41,692,713,11.1666666667,67,17,3.9411764706,1,6,0,516,713,5,Paragraph
5,6,375,39,33,743,12,728,111,6.5585585586,30,226,0,486,743,5,Paragraph
5,7,223,35,33,863,11.8782287823,732,143,5.1188811189,39,271,0,366,863,5,Paragraph
5,8,164,40,39,1015,12.0933333333,721,50,14.42,8,75,0,214,1015,5,Paragraph
6,0,931,307,287,271,34.3333333333,206,27,7.6296296296,1,6,0,958,271,6,Title
6,1,691,86,76,330,27.0786516854,638,208,3.0673076923,13,89,0,899,330,6,Title
7,0,842,298,329,368,15.7272727273,173,19,9.1052631579,1,11,0,861,368,7,Title
7,1,610,30,38,418,12.2645631068,732,201,3.6417910448,56,412,0,811,418,7,Paragraph
7,2,245,29,37,634,12.5465288035,734,350,2.0971428571,97,677,0,595,634,7,Paragraph
7,3,184,36,39,994,12.3130434783,725,51,14.2156862745,15,115,0,235,994,7,Paragraph
7,4,118,35,39,1065,11.1279069767,726,46,15.7826086957,13,86,0,164,1065,7,Comment
7,5,41,33,38,1116,10.8021390374,729,72,10.125,26,187,0,113,1116,7,Comment
8,0,1171,33,52,39,10.2083333333,715,19,37.6315789474,12,72,0,1190,-24,8,Garbage
8,1,774,36,33,105,12.1775836972,731,350,2.0885714286,97,687,0,1124,42,8,Paragraph
8,2,500,32,37,464,12.6245136187,731,265,2.758490566,77,514,0,765,401,8,Paragraph
8,3,319,32,37,742,12.3897280967,731,168,4.3511904762,46,331,0,487,679,8,Paragraph
8,4,227,30,37,922,12.4941860465,733,80,9.1625,23,172,0,307,859,8,Paragraph
8,5,73,30,38,1018,12.0264900662,732,138,5.3043478261,39,302,0,211,955,8,Paragraph
8,6,43,32,565,1171,11.9411764706,203,15,13.5333333333,2,17,0,58,1108,8,Paragraph
9,0,1173,343,341,39,10.5454545455,116,17,6.8235294118,1,11,1,1190,-24,9,Garbage
9,1,1171,745,32,38,11.5,23,20,1.15,1,2,1,1191,-25,9,Garbage
9,2,891,37,31,99,12.218220339,732,239,3.0627615063,62,472,0,1130,36,9,Paragraph
9,3,861,39,30,352,11.9836065574,731,16,45.6875,8,61,0,877,289,9,Paragraph
9,4,830,45,30,380,12.2881355932,725,19,38.1578947368,7,59,0,849,317,9,Paragraph
9,5,283,39,29,413,12.3908918406,732,533,1.373358349,143,1054,0,816,350,9,Paragraph
9,6,252,46,528,961,11.8947368421,226,16,14.125,2,19,0,268,898,9,Paragraph
9,7,39,39,29,987,12.2165450122,732,203,3.60591133,54,411,0,242,924,9,Paragraph
10,0,1169,32,60,40,10.2608695652,708,20,35.4,11,69,0,1189,-26,10,Garbage
10,1,953,31,40,105,12.2565597668,729,171,4.2631578947,46,343,0,1124,39,10,Paragraph
10,2,861,38,35,288,11.7823529412,727,80,9.0875,21,170,0,941,222,10,Paragraph
10,3,709,36,32,378,12.4166666667,732,142,5.1549295775,39,288,0,851,312,10,Paragraph
10,4,223,37,30,533,12.4091880342,733,473,1.5496828753,131,936,0,696,467,10,Paragraph
10,5,132,39,29,1017,12.4597701149,732,80,9.15,25,174,0,212,951,10,Paragraph
10,6,71,39,33,1111,12.6347826087,728,47,15.4893617021,15,115,0,118,1045,10,Paragraph
10,7,41,40,29,1172,12.1833333333,731,16,45.6875,8,60,0,57,1106,10,Paragraph
11,0,1177,341,342,35,10.6363636364,117,17,6.8823529412,1,11,1,1194,-24,11,Garbage
11,1,1179,739,37,31,12,24,19,1.2631578947,1,2,1,1198,-28,11,Garbage
11,2,930,35,33,97,12.1947115385,732,202,3.6237623762,50,416,0,1132,38,11,Paragraph
11,3,900,39,43,313,13.0545454545,718,16,44.875,7,55,0,916,254,11,Paragraph
11,4,595,37,32,343,12.2694915254,731,291,2.5120274914,77,590,0,886,284,11,Paragraph
11,5,261,38,35,646,12.2530864198,727,322,2.2577639752,86,648,0,583,587,11,Paragraph
11,6,48,38,32,982,12.2687651332,730,199,3.6683417085,57,413,0,247,923,11,Paragraph
12,0,1175,32,56,32,10.3188405797,712,22,32.3636363636,11,69,0,1197,-26,12,Garbage
12,1,961,35,35,99,12.269121813,730,169,4.3195266272,48,353,0,1130,41,12,Paragraph
12,2,383,39,30,279,12.432211101,731,567,1.2892416226,146,1099,0,950,221,12,Paragraph
12,3,49,39,29,857,12.1972049689,732,323,2.26625387,85,644,0,372,799,12,Paragraph
13,0,1182,342,341,30,10.6363636364,117,17,6.8823529412,1,11,1,1199,-24,13,Garbage
13,1,1183,741,34,27,12.5,25,19,1.3157894737,1,2,1,1202,-27,13,Garbage
13,2,873,36,34,95,12.6252427184,730,261,2.7969348659,61,515,0,1134,41,13,Paragraph
13,3,782,36,33,369,12.1787709497,731,78,9.3717948718,21,179,0,860,315,13,Paragraph
13,4,418,32,32,460,12.1806722689,736,351,2.0968660969,100,714,0,769,406,13,Paragraph
13,5,175,31,37,821,12.4141630901,732,233,3.1416309013,69,466,0,408,767,13,Paragraph
13,6,146,36,47,1064,12.3620689655,717,19,37.7368421053,10,58,0,165,1010,13,Paragraph
13,7,118,35,676,1097,12.7142857143,89,14,6.3571428571,2,7,0,132,1043,13,Paragraph
13,8,55,36,40,1125,12.2173913043,724,49,14.7755102041,14,115,0,104,1071,13,Paragraph
14,0,1173,32,56,36,10.3188405797,712,20,35.6,11,69,0,1193,-25,14,Garbage
14,1,989,35,38,102,12.3583617747,727,138,5.268115942,42,293,0,1127,41,14,Paragraph
14,2,897,33,40,249,12.0666666667,727,83,8.7590361446,23,180,0,980,188,14,Paragraph
14,3,746,36,33,345,12.343537415,731,138,5.2971014493,40,294,0,884,284,14,Paragraph
14,4,564,36,35,496,12.7794117647,729,169,4.3136094675,51,340,0,733,435,14,Paragraph
14,5,503,35,35,676,12.5086206897,730,50,14.6,15,116,0,553,615,14,Paragraph
14,6,47,34,35,738,12.4152941176,731,444,1.6463963964,111,850,0,491,677,14,Paragraph
15,0,167,294,293,1041,10.65,213,21,10.1428571429,3,20,0,-28,878,15,Image
16,0,1190,338,349,23,10.2727272727,113,16,7.0625,1,11,1,1206,-24,16,Garbage
16,1,1190,738,39,21,11.5,23,18,1.2777777778,1,2,1,1208,-26,16,Garbage
16,2,1125,35,41,87,12.0666666667,724,17,42.5882352941,9,60,0,1142,40,16,Paragraph
16,3,701,30,37,118,12.303030303,733,410,1.787804878,112,825,0,1111,71,16,Paragraph
16,4,669,34,436,543,12.2222222222,330,17,19.4117647059,3,27,0,686,496,16,Paragraph
16,5,91,32,39,568,12.1751111111,729,570,1.2789473684,155,1125,0,661,521,16,Paragraph
16,6,62,36,47,1147,12.3620689655,717,20,35.85,7,58,0,82,1100,16,Paragraph
16,7,18,96,380,1192,9.5294117647,324,19,17.0526315789,8,34,0,37,1145,16,Garbage
17,0,1165,36,56,43,10.2608695652,708,21,33.7142857143,11,69,0,1186,-25,17,Garbage
