FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Width,Height,WidthToHeightRatio,WordCount,SymbolCount,SameyCount,BottomLineDistance,TopLineDistance,ImageIndex,Label
0,0,836,181,174,325,37.083333333333336,445,68,6.544117647058823,2,12,0,807,214,0,Garbage
10,0,1169,32,60,40,10.26086956521739,708,20,35.4,11,69,0,1189,-26,10,Garbage
10,1,953,31,40,105,12.256559766763848,729,171,4.2631578947368425,46,343,0,1124,39,10,Paragraph
10,2,861,38,35,288,11.782352941176471,727,80,9.0875,21,170,0,941,222,10,Paragraph
10,3,709,36,32,378,12.416666666666666,732,142,5.154929577464789,39,288,0,851,312,10,Paragraph
10,4,223,37,30,533,12.409188034188034,733,473,1.5496828752642706,131,936,0,696,467,10,Paragraph
10,5,132,39,29,1017,12.459770114942527,732,80,9.15,25,174,0,212,951,10,Paragraph
10,6,71,39,33,1111,12.634782608695652,728,47,15.48936170212766,15,115,0,118,1045,10,Paragraph
10,7,41,40,29,1172,12.183333333333334,731,16,45.6875,8,60,0,57,1106,10,Paragraph
100,0,1167,33,33,41,10.243243243243244,734,21,34.95238095238095,12,74,0,1188,-26,100,Garbage
100,1,1105,37,39,108,12.066666666666666,724,16,45.25,12,60,0,1121,41,100,Paragraph
100,2,437,35,34,137,12.42678151918559,731,655,1.116030534351145,164,1277,0,1092,70,100,Paragraph
100,3,44,35,35,803,12.389403973509934,730,382,1.9109947643979055,103,755,0,426,736,100,Paragraph
101,0,1168,287,290,42,10.61904761904762,223,19,11.736842105263158,3,21,1,1187,-26,101,Garbage
101,1,1170,732,35,42,11.0,33,17,1.9411764705882355,1,3,1,1187,-26,101,Garbage
101,2,1104,41,37,105,12.033333333333331,722,20,36.1,9,60,0,1124,37,101,Paragraph
101,3,953,38,31,139,12.37542662116041,731,137,5.335766423357664,39,293,0,1090,71,101,Paragraph
101,4,771,39,36,289,12.251412429378531,725,169,4.289940828402367,51,354,0,940,221,101,Paragraph
101,5,377,37,34,472,12.332892998678997,729,380,1.918421052631579,106,757,0,757,404,101,Paragraph
101,6,225,39,36,867,11.913907284768213,725,137,5.291970802919708,43,302,0,362,799,101,Paragraph
101,7,197,40,670,1018,11.25,90,14,6.428571428571429,1,8,0,211,950,101,Paragraph
101,8,43,36,37,1045,12.23448275862069,727,141,5.156028368794326,45,290,0,184,977,101,Paragraph
102,0,1169,33,33,38,10.485714285714286,734,22,33.36363636363637,11,70,0,1191,-27,102,Garbage
102,1,955,36,33,106,12.3944099378882,731,168,4.351190476190476,42,322,0,1123,41,102,Paragraph
102,2,924,77,34,285,12.087719298245617,689,20,34.45,9,57,0,944,220,102,Paragraph
102,3,409,38,30,318,12.475757575757576,732,502,1.4581673306772909,147,990,0,911,253,102,Paragraph
102,4,75,40,29,828,12.140215716486903,731,326,2.2423312883435584,90,649,0,401,763,102,Paragraph
102,5,45,46,30,1168,11.868852459016392,724,16,45.25,10,61,0,61,1103,102,Paragraph
103,0,1168,288,286,42,10.761904761904765,226,19,11.894736842105264,3,21,1,1187,-26,103,Garbage
103,1,1169,732,32,42,12.0,36,18,2.0,1,3,1,1187,-26,103,Garbage
103,2,1042,36,36,109,12.63953488372093,728,78,9.333333333333334,22,172,0,1120,41,103,Paragraph
103,3,802,35,32,197,12.255813953488373,733,230,3.1869565217391305,64,473,0,1032,129,103,Paragraph
103,4,287,30,32,442,12.278058645096056,738,500,1.476,130,989,0,787,374,103,Paragraph
103,5,135,31,40,952,12.187713310580206,729,142,5.133802816901408,43,293,0,277,884,103,Paragraph
103,6,105,34,524,1109,12.1,242,15,16.133333333333333,5,20,0,120,1041,103,Paragraph
103,7,45,36,42,1131,11.725,722,53,13.62264150943396,19,120,0,98,1063,103,Paragraph
104,0,1167,29,36,37,9.87012987012987,735,25,29.4,12,77,0,1192,-27,104,Garbage
104,1,956,36,38,104,12.177464788732394,726,169,4.295857988165681,53,355,0,1125,40,104,Paragraph
